" is out of stock!","ei ole laos!"
"Quantity available offline","Kogus on saadaval internetiühenduseta"
"Quantity available","Kogus on saadaval"
"Quantity must be above 0","Laokogus peab olema suurem, kui 0"
"Quantity must be below {quantity}","Laokogus peab olema alla {quantity}"
"Quantity must be positive integer","Laokogus peab olema positiivne täisarv"
"Registering the account ...","Konto loomine..."
"Reset password feature does not work while offline!","Parooli ei saa kahjuks ilma interneti ühenduseta muuta."
"Select 0","Vali 0"
"Select 1","Vali 1"
"Shopping cart is empty. Please add some products before entering Checkout","Otsukorv on tühi."
"Some of the ordered products are not available!","Mõned tellitud tooted ei ole kahjuks enam saadaval."
"Stock check in progress, please wait while available stock quantities are checked","Palun oota, kontrollime laoseise."
"Subtotal incl. tax","Kokku (sisaldab käibemaksu)"
"The product is out of stock and cannot be added to the cart!","Toode on kahjuks laost otsa saanud."
"The product, category or CMS page is not available in Offline mode. Redirecting to Home.","Antud toode, kategooria või sisuleht ei ole kahjuks ilma internetiühenduseta saadaval. Suuname ümber esilehele."
"The system is not sure about the stock quantity (volatile). Product has been added to the cart for pre-reservation.","Antud toodet ostetakse väga palju ja me ei ole laoseisu osas kindlad. Toode on ostukorvi lisatud ja Teie jaoks broneeritud."
"There is no Internet connection. You can still place your order. We will notify you if any of ordered products is not available because we cannot check it right now.","Interneti ühendus puudub. Saad sellegi poolest tellimuse luua. Kontrollime interneti ühenduse taastudes tellitud toodete laoseisu üle. Anname märku, kui mõni tellitud toodetest vahepeal otsa on saanud. "
"This feature is not implemented yet! Please take a look at https://github.com/vuestorefront/vue-storefront/issues for our Roadmap!","Sellist funktsionaalsust ei ole veel lisatud. Saad meie arendusplaanidega tutvuda https://github.com/vuestorefront/vue-storefront/issues."
"Type what you are looking for...","Otsi ..."
"Unexpected authorization error. Check your Network conection.","Internetiühenduse viga. Palun kontrollige oma internetiühendust."
"Unhandled error, wrong response format!","Vale päringu formaat"
"Vue Storefront","Vue Storefront"
"You are going to pay for this order upon delivery.","Maksmine toimub tellimuse kättesaamisel."
"You are logged in!","Olete sisse logitud."
"You are to pay for this order upon delivery.","Saate makse teostada tellimuse kätte saamisel."
"You need to be logged in to see this page","Palun logige lehe nägemisesse sisse"
"You submitted your review for moderation.","Tagasiside on edastatud üle vaatamiseks."
"You're logged out","Olete välja logitud"
"have as many","osta kuni"
"most you may purchase","maksimum ostu kogus"
"not authorized","Ligipääs puudub"
"to account",kontole
Checkout,Ostuvormistamine
Columns,Tulbad
OK,Ok
Review,Kommentaar
Reviews,Kommentaarid
Summary,Kokkuvõte
Thumbnail,Pisipilt
email,E-post
login,"logi sisse"
password,Parool
