"Remove from compare","移除比较"
"Edit your profile","修改头像"
"Update my profile","更新头像"
"My shipping details","我的送货明细"
"Edit your shipping details","修改送货明细"
"Update my shipping details","更新送货明细"
"Country","国家"
"Similar products","相似商品"
"We found other products you might like","猜你喜欢"
"No results were found.","没有找到."
"Magazine","杂志"
"Sale","销售"
"My orders","我的订单"
"My loyalty card","我的幸运卡"
"My product reviews","我的产品评论"
"Wishlist","心愿单"
"Your wishlist is empty.","你还没心仪的商品."
"Add to cart","加入购物车"
"Select color ","颜色"
"See details","查看详细"
"We use cookies to give you the best shopping experience.","我们使用cookies为您提供最佳的购物体验."
"Newsletter","新闻列表"
"Sign up to our newsletter and receive a coupon for 10% off!","订阅我们的时事新闻并获得10％的优惠券!"
"Quantity","数量"
"Price ","价格 "
"Select size ","尺码"
"You have no items to compare.","您没有可比较的项目."
"New Luma Yoga Collection","新的Luma瑜伽系列"
"We can't find the page","我们找不到该页面"
"Unfortunately we can't find the page you are looking for.","很遗憾，我们找不到您要查找的页面."
"If you need an assistance you can drop us a line on","如果您需要帮助，可以给我们打电话"
"a chat","聊天"
"or write to us through","或写信给我们"
"a contact page","联系页面"
"You can also use","你也可以使用"
"search","搜索"
"to find product you were looking for.","找到你想要的产品."
"See our bestsellers","查看我们的畅销书"
"You are offline, some of the functionalities are limited","您处于离线状态，部分功能有限"
"Search","搜索"
"Help","帮助"
"Go to Facebook","Go to Facebook"
"Go to Instagram","Go to Instagram"
"Go to Pinterest","Go to Pinterest"
"Go to Youtube","Go to Youtube"
"I accept ","我接受 "
"Use my billing data","使用我的结算数据"
"I want to generate an invoice for the company","我想开公司发票"
"Field is required","必填字段"
"Name must have at least 3 letters.","名字至少3个字母."
"Zip-code must have at least 3 letters.","邮编至少3个字符."
"I want to create an account'","我想创建帐户'"
"Copy address data from shipping","从发货中复制地址数据"
"Tax identification number must have at least 3 letters.","税号必须至少有3个字母."
"Please provide valid e-mail address.","请提供有效的电子邮件地址."
"Use my company's address details","使用我公司的详细地址信息"
"Passwords must be identical","密码必须相同"
"E-mail address *","电邮 *"
"Password *","密码 *"
"First name","姓"
"Last name","名"
"Email address","电邮"
"Change my password","修改密码"
"I have a company and want to receive an invoice for every order","我公司想要收到每张订单的发票"
"Company name *","公司名称 *"
"Street name *","街道名称 *"
"House/Apartment number *","房子/公寓号码 *"
"City *","城市 *"
"Zip-code *","邮编 *"
"Tax ID *","税码 *"
"State / Province","州 / 省"
"City","城市"
"Phone Number","电话号码"
"Current password *","当前密码 *"
"New password *","新密码 *"
"Repeat new password *","重复输入密码 *"
"Tax identification number *","税号 *"
"No products found!","没找到商品!"
"Please change Your search criteria and try again. If still not finding anything relevant, please visit the Home page and try out some of our bestsellers!","请更改您的搜索条件，然后重试。 如果仍然没有找到任何相关内容，请访问主页并阅读一些畅销书!"
"Open my account","打开我的帐户"
"Open microcart","打开微型购物车"
"Open wishlist","打开心愿单"
"Open search panel","打开搜索面板"
"Open menu","打开菜单"
"Show subcategories","显示子类别"
"Back","返回"
"Close","关闭"
"View all","查看"
"Create a new account","创建账号"
"I accept terms and conditions","我接受所有的条件和协议"
"I want to receive a newsletter, and agree to its terms","我同意相关条款，并订阅相关新闻"
"Use my company's address details","使用我公司的详细地址"
"Tax ID must have at least 3 letters.","税号至少为3位."
"Country *","国家 *"
"Toggle password visibility","切换密码可见性"
"You've entered an incorrect coupon code. Please try again.","您输入了错误的优惠券代码。请再试一次。"
"Add a discount code","A添加折扣代码"
"Discount code","优惠码"
"Apply","应用"
"Order ID","订单编号"
"Date and time","日期和时间"
"Author","作者"
"Value","值"
"Type","分类"
"Status","状态"
"Purchase","购买"
"View order","查看订单"
"Remake order","重新订购"
"No orders yet","还没订单"
"Order #","订单 #"
"Items ordered","订购物品"
"Product Name","商品名称"
"SKU","SKU"
"Subtotal","分类汇总"
"Tax","Tax"
"Discount","折扣"
"Order informations","订单信息"
"Shipping address","配送地址"
"Billing address","发票地址"
"Order confirmation","订单确认"
"Your purchase","你的购买"
"You have successfuly placed the order. You can check status of your order by using our <b>delivery status</b> feature. You will receive an order confirmation e-mail with details of your order and a link to track its progress.","您已成功下订单。 您可以使用我们的<b>投放状态</b>功能查看订单状态。 您将收到订单确认电子邮件，其中包含订单的详细信息以及跟踪其进度的链接。"
"E-mail us at <b>demo@vuestorefront.io</b> with any questions, suggestions how we could improve products or shopping experience","如有任何问题，建议我们如何改进产品或购物体验，请发送电子邮件至<b> demo@vuestorefront.io </b>"
"Your Account","你的账户"
"What we can improve?","我们可以改进什么?"
"Your feedback is important fo us. Let us know what we could improve.","您的反馈对我们很重要。 让我们知道我们可以改进什么."
"Type your opinion","输入你的意见"
"Give a feedback","给出反馈"
"Choose your country","请选择你的国家"
"You can log to your account using e-mail and password defined earlier. On your account you can <b>edit your profile data,</b> check <b>history of transactions,</b> edit <b>subscription to newsletter.</b>","您可以使用之前定义的电子邮件和密码登录您的帐户。 在您的帐户中，您可以<b>修改个人资料数据，</b>检查<b>交易历史记录，</b>编辑<b>订阅简报。</b>"
"United States","United States"
"English","English"
"Germany","Germany"
"German","German"
"Italy","意大利"
"Italian","意大利"
"Sort By","排序"
"Custom Cms Page","自定义内容管理页面"
"Cms Page Sync","内容管理页面数据同步"
"Password must have at least 8 letters.","密码至少为8个字符."
"Confirm your order","订单确认"
"Please confirm order you placed when you was offline","请确认您离线时的订单"
"Allow notification about the order","允许有关订单的通知"
"Extension developers would like to thank you for placing an order!","拓展开发人员要感谢您下订单!"
"Compare products","比较商品清单"
"Load more","更多"
"Select No","否"
"Select Yes","是"
"erin_recommends_filter","Erin推荐"
"Latest","最新"
"size","尺码"
"color","颜色"
"login","登录"
"No reviews have been posted yet. Please don't hesitate to share Your opinion and write the first review!","还没有评论发布。 请不要犹豫，分享您的意见并撰写第一篇评论!"
"If you need an assistance you can drop us a line on","如果您需要帮助，可以给我们打电话"
"Internal Server Error 500","内部服务器错误 500"
"We've noticed Internal Server Error while rendering this request.","我们在呈现此请求时注意到内部服务器错误."
"Something went wrong ...","有些不对劲 ..."
"This product is out of stock.","该商品缺货."
"Cash on delivery","货到付款"
"DPD Courier","DPD Courier"
"My Recently viewed products","最近浏览"
"No products yet","还没有商品"
"The server order id has been set to ","服务器订单ID已设置为 "
