"Remove from compare","Eliminar de comparar"
"Customer service","Servicio al cliente"
"Contact us","Contáctenos"
"About us","Sobre nosotros"
"Store locator","Localizador de tiendas"
"Legal notice","Aviso Legal"
"Privacy policy","Política de privacidad"
"Subscribe to the newsletter and receive a coupon for 10% off","Suscríbase al boletín y reciba un cupón con un 10% de descuento"
"Subscribe","Suscribir"
"Return to shopping","Regresar a comprar"
"Login to your account","Ingrese a su cuenta"
"You are logged in as","Has iniciado sesión como"
"Edit","Editar"
"Shopping cart","Carrito de compras"
"Your shopping cart is empty.","Su cesta está vacía."
"Don't hesitate and","No lo dudes y"
"browse our catalog","navega por nuestro catálogo"
"to find something beautiful for You!","para encontrar algo hermoso para ti!"
"Shopping summary","Resumen de compras"
"Go to checkout","Ir a pagar"
"Remove","Quitar"
"My newsletter","Mi boletín"
"Edit newsletter preferences","Editar las preferencias del boletín"
"General agreement","Acuerdo General"
"Cancel","Cancelar"
"Update my preferences","Actualizar mis preferencias"
"My profile","Mi perfil"
"Edit your profile","Edite su perfil"
"Update my profile","Actualizar mi perfil"
"My shipping details","Mis detalles de envío"
"Edit your shipping details","Edite sus detalles de envío"
"Update my shipping details","Actualiza mis detalles de envío"
"Country","País"
"Similar products","Productos similares"
"No results were found.","No se encontraron resultados."
"Magazine","Revista"
"Sale","Venta"
"My orders","Mis ordenes"
"My loyalty card","Mi tarjeta de lealtad"
"My product reviews","Mis Opiniones del producto"
"Wishlist","Lista de Deseo"
"Your wishlist is empty.","Tu lista de deseos esta vacía."
"Add to cart","Añadir a la cesta"
"Select color ","Seleccionar el color "
"See details","Ver detalles"
"We use cookies to give you the best shopping experience.","Utilizamos cookies para ofrecerle la mejor experiencia de compra."
"Newsletter","Boletin de Noticias"
"Sign up to our newsletter and receive a coupon for 10% off!","¡Suscríbete a nuestro boletín y recibe un cupón con un 10% de descuento!"
"Quantity","Cantidad"
"Price ","Precio "
"Select size ","Selecciona el tamaño "
"You have no items to compare.","No tienes articulos para comparar."
"New Luma Yoga Collection","Nueva colección Luma Yoga"
"We can't find the page","No podemos encontrar la página"
"Unfortunately we can't find the page you are looking for.","Desafortunadamente no podemos encontrar la página que está buscando."
"If you need an assistance you can drop us a line on","Si necesita ayuda, puede enviarnos un mensaje en"
"a chat","un chat"
"or write to us through","o escríbanos a través de"
"a contact page","una página de contacto"
"You can also use","También puedes usar"
"search","buscar"
"to find product you were looking for.","para encontrar el producto que estabas buscando."
"See our bestsellers","Vea nuestros bestsellers"
"You are offline, some of the functionalities are limited","Estás fuera de línea, algunas de las funcionalidades son limitadas"
"Search","Buscar"
"Help","Ayuda"
"Go to Facebook","Ir a Facebook"
"Go to Instagram","Ir a Instagram"
"Go to Pinterest","Ir a Pinterest"
"Go to Youtube","Ir a Youtube"
"I accept ","Acepto "
"Use my billing data","Usa mis datos de facturación"
"I want to generate an invoice for the company","Quiero generar una factura para la empresa"
"Field is required","El campo es requerido"
"Name must have at least 3 letters.","El nombre debe tener al menos 3 letras."
"Zip-code must have at least 3 letters.","El código postal debe tener al menos 3 letras."
"I want to create an account'","Quiero crear una cuenta'"
"Copy address data from shipping","Copie los datos de la dirección del envío"
"Tax identification number must have at least 3 letters.","El número de identificación fiscal debe tener al menos 3 letras."
"Please provide valid e-mail address.","Proporcione una dirección de correo electrónico válida."
"Use my company's address details","Usar los detalles de la dirección de mi empresa"
"Passwords must be identical","Las contraseñas deben ser idénticas"
"E-mail address *","Dirección de correo electrónico *"
"Password *","Contraseña *"
"First name","Nombre"
"Last name","Apellido"
"Email address","Dirección de correo electrónico"
"Change my password","Cambiar mi contraseña"
"I have a company and want to receive an invoice for every order","Tengo una empresa y quiero recibir una factura por cada pedido"
"Company name *","Nombre de empresa *"
"Street name *","Nombre de la calle *"
"House/Apartment number *","Número de casa/apartamento *"
"City *","Ciudad *"
"Zip-code *","Código postal *"
"Tax ID *","Identificación del impuesto *"
"State / Province","Provincia del estado"
"City","Ciudad"
"Phone Number","Número de teléfono"
"House/Apartment number","Número de casa/apartamento"
"Street name","Nombre de la calle"
"Zip-code","Código postal"
"Current password *","Contraseña actual *"
"New password *","Nueva contraseña *"
"Repeat new password *","repita la nueva contraseña *"
"Passwords must be identical.","Las contraseñas deben ser idénticas."
"First name *","Nombre *"
"Last name *","Apellido *"
"Repeat password *","repite la contraseña *"
"Email address *","Dirección de correo electrónico *"
"I want to create an account","Quiero crear una cuenta"
"Tax identification number *","Número de identificación de impuestos *"
"No products found!","No se encontraron productos!"
"Erin recommends","Erin recomienda"
