"About us (Magento CMS)","关于我们(Magento CMS)"
"Resetting the password ... ","重置密码 ... "
"Return policy","退货政策"
"Return to shopping","返回购物"
"Returns","退货"
"Review order","查看订单"
"SKU","SKU"
"SKU: {sku}","SKU: {sku}"
"Safety","安全"
"Sale","销售"
"Search","搜索"
"See details","查看详细"
"See our bestsellers","查看我们的畅销书"
"Select No","否"
"Select Yes","是"
"Select color ","颜色"
"Select size {variant}","尺码 {variant}"
"Ship to my default address","发送到我的默认地址"
"Shipping address","配送地址"
"Shipping method","配送方式"
"Shipping","配送"
"Shopping cart","购物车"
"Shopping summary","购物车摘要"
"Show subcategories","显示子类别"
"Sign up to our newsletter and receive a coupon for 10% off!","订阅我们的时事新闻并获得10％的优惠券!"
"Similar products","相似商品"
"Size guide","尺码向导"
"Something went wrong ...","有些不对劲 ..."
"Sort By","排序"
"State / Province","州 / 省"
"Status","状态"
"Store locator","商店定位"
"Street name *","街道名称 *"
"Subscribe to the newsletter and receive a coupon for 10% off","订阅时事新闻并获得10％的优惠券"
"Subscribe","订阅"
"Subtotal","分类汇总"
"Tax ID *","税码 *"
"Tax ID must have at least 3 letters.","税号至少为3位."
"Tax identification number *","税号 *"
"Tax identification number must have at least 3 letters.","税号必须至少有3个字母."
"Tax","Tax"
"Terms and conditions","条款和条件"
"The new account will be created with the purchase. You will receive details on e-mail.","购买时将创建新帐户。 您将收到有关电子邮件的详细信息。"
"The server order id has been set to ","服务器订单ID已设置为 "
"This product is out of stock.","该商品缺货."
"Toggle password visibility","切换密码可见性"
"Track my order","跟踪订单"
"Type your opinion","输入你的意见"
"Type","分类"
"Unfortunately we can't find the page you are looking for.","很遗憾，我们找不到您要查找的页面."
"United States","United States"
"Update my preferences","更新我的参数"
"Update my profile","更新头像"
"Update my shipping details","更新送货明细"
"Use my billing data","使用我的结算数据"
"Use my company's address details","使用我公司的详细地址"
"Use my company's address details","使用我公司的详细地址信息"
"Value","值"
"View all","查看"
"View order","查看订单"
"We can't find the page","我们找不到该页面"
"We found other products you might like","猜你喜欢"
"We use cookies to give you the best shopping experience.","我们使用cookies为您提供最佳的购物体验."
"We will send you details regarding the order","我们会向您发送有关订单的详细信息"
"We will send you the invoice to given e-mail address","我们将发票发送到你的邮箱"
"We've noticed Internal Server Error while rendering this request.","我们在呈现此请求时注意到内部服务器错误."
"We've sent password reset instructions to your email. Check your inbox and follow the link.","W已经将密码重置说明发送到您的电子邮箱。 请检查您的收件箱，并点击重置密码链接"
"What we can improve?","我们可以改进什么?"
"Wishlist","心愿单"
"Women fashion","女性时尚"
"You are logged in as {firstname}","你已登录 {firstname}"
"You are offline. Some features might not be available.","您处于离线状态，部分功能有限"
"You can also use","你也可以使用"
"You can log to your account using e-mail and password defined earlier. On your account you can <b>edit your profile data,</b> check <b>history of transactions,</b> edit <b>subscription to newsletter.</b>","您可以使用之前定义的电子邮件和密码登录您的帐户。 在您的帐户中，您可以<b>修改个人资料数据，</b>检查<b>交易历史记录，</b>编辑<b>订阅简报。</b>"
"You have been successfully subscribed to our newsletter!","你已成功订阅该新闻组!"
"You have no items to compare.","您没有可比较的项目."
"You have successfuly placed the order. You can check status of your order by using our <b>delivery status</b> feature. You will receive an order confirmation e-mail with details of your order and a link to track its progress.","您已成功下订单。 您可以使用我们的<b>投放状态</b>功能查看订单状态。 您将收到订单确认电子邮件，其中包含订单的详细信息以及跟踪其进度的链接。"
"You must accept the terms and conditions.","您必须接受条款和条件."
"You've entered an incorrect coupon code. Please try again.","您输入了错误的优惠券代码。请再试一次。"
"Your Account","你的账户"
"Your feedback is important fo us. Let us know what we could improve.","您的反馈对我们很重要。 让我们知道我们可以改进什么."
"Your purchase","你的购买"
"Your shopping cart is empty.","购物车空空荡荡."
"Your wishlist is empty.","你还没心仪的商品."
"Zip-code *","邮编 *"
"Zip-code must have at least 3 letters.","邮编至少3个字符."
"a chat","聊天"
"a contact page","联系页面"
"browse our catalog","浏览我们的目录"
"color","颜色"
"color_filter","颜色"
"erin_recommends_filter","Erin推荐"
"login to your account","登录"
"login","登录"
"or write to us through","或写信给我们"
"or","或者"
"price_filter","价格"
"register an account","注册"
"return to log in","返回登录"
"search","搜索"
"size","尺码"
"size_filter","尺码"
"to find product you were looking for.","找到你想要的产品."
"to find something beautiful for You!","为你寻找美好的东西!"
